,num_layers,add_self_loops,use_pairnorm,drop_edge,activation,best_acc
0,2,True,False,1.0,relu,0.6190932393074036
1,4,True,False,1.0,relu,0.5740740895271301
2,6,True,False,1.0,relu,0.5185185074806213
3,2,False,False,1.0,relu,0.22126436233520508
4,2,True,True,1.0,relu,0.48403576016426086
5,4,True,True,1.0,relu,0.401660293340683
6,6,True,True,1.0,relu,0.3646232485771179
7,2,True,False,0.6,relu,0.610472559928894
8,4,True,False,0.6,relu,0.5874840617179871
9,2,True,False,1.0,tanh,0.6149425506591797
10,2,True,False,1.0,leaky_relu,0.6095147132873535
